name,dataset,ClaSS,FLOSS,Window,ADWIN,DDM,HDDM,ChangeFinder,NEWMA
WESAD,WESAD_Subject2_chest_EMG,951.0576231110789,109.10618024594397,1252.4037704686032,11756.919365852733,26087.801756860725,28769.200281845235,2726.041606751258,18893.769836342664
WESAD,WESAD_Subject2_chest_EDA,1043.0102130312928,108.8006657487138,1239.2965839072747,13636.30632109831,25959.785995649345,30083.68931565113,2693.409628397454,18495.287828543478
WESAD,WESAD_Subject2_chest_Temp,965.6679679004797,107.74831317009917,1222.3396113959043,12321.12712749439,24836.50185257575,29036.37884029023,2718.6597048079648,16296.977937782945
WESAD,WESAD_Subject2_chest_Resp,1212.1072594921602,109.14543313302285,1260.9741453157849,15290.908872323082,28213.620587931244,29357.82786516962,2736.904451130748,17097.785039739287
WESAD,WESAD_Subject3_chest_X-ACC,1073.1994205028923,109.33885697607315,1269.9927954447187,13349.834834455314,33101.92342301918,30085.805642422045,2697.281140620758,18558.89462934124
WESAD,WESAD_Subject3_chest_Y-ACC,1118.3765602583833,107.79547886704951,1245.8273294227936,13547.064966667444,26784.328183670135,30134.766659186138,2689.4423905684484,17963.277465483763
WESAD,WESAD_Subject3_chest_Z-ACC,1095.2737231908097,109.38717544857481,1258.79135440829,13944.11064715981,26156.250194946384,27802.322538179607,2676.0862599416946,16643.035377105727
WESAD,WESAD_Subject3_chest_ECG,1027.73500511346,108.94352904341838,1257.152625891032,11609.949074476446,26943.339018381634,25343.365740424353,2686.7981617784662,16628.036547508167
WESAD,WESAD_Subject3_chest_EMG,1014.9934091414057,109.309396836224,1234.4365683951494,11873.024980034892,25292.38263238362,27644.03754258956,2685.0053027685376,18503.328661196338
WESAD,WESAD_Subject3_chest_EDA,1079.1479157256956,108.32212390143499,1207.2547696852828,13943.293004467678,26356.719324488335,29474.02836534923,2698.0744884620026,18580.46576759985
WESAD,WESAD_Subject3_chest_Temp,1017.1278805918886,109.5282480603213,1237.7656161181544,12479.760262373087,24870.999532844307,28568.800437744158,2689.070137407034,16538.451135561943
WESAD,WESAD_Subject3_chest_Resp,1769.0631704725688,109.54892482994791,1255.7027948452903,15372.35192754758,26936.53181931174,29685.382777255854,2697.447125204182,17125.40273226101
WESAD,WESAD_Subject4_chest_X-ACC,1081.1681305133538,110.81571201698661,1252.1994641118906,13406.433072848415,32997.96790389674,28313.401833846856,2700.9616133258187,16787.07220036342
WESAD,WESAD_Subject4_chest_Y-ACC,1120.6349886719433,108.93955407595182,1287.5431676663065,13349.836437291893,26344.239851833685,28297.782361438607,2691.208282424452,16965.650409191054
WESAD,WESAD_Subject4_chest_Z-ACC,1076.3113602533426,108.43879152432608,1244.4336089452172,13643.823019684369,25189.792698646976,29125.990934662266,2721.810815282231,17111.92353155033
WESAD,WESAD_Subject4_chest_ECG,1029.346327866423,110.76913072090484,1247.8868016556614,11465.82664130691,26350.510545649224,25220.61354117016,2694.073078362268,18559.988415858876
WESAD,WESAD_Subject4_chest_EMG,971.0720893211761,108.93607621337352,1239.652262621881,11515.89164586994,25253.190749441204,29152.337647568736,2653.3567007287816,18838.723298795678
WESAD,WESAD_Subject4_chest_EDA,941.2069584035305,109.84941356128849,1210.1460012217294,13112.809909823129,26413.46595707351,25967.592110901915,2679.4283347670266,18566.863852798324
WESAD,WESAD_Subject4_chest_Temp,980.6264346194639,108.72767739029828,1285.006251407156,12399.770064595667,24825.10489168965,26434.271514295215,2692.313136302295,16363.108457054846
WESAD,WESAD_Subject4_chest_Resp,1394.1288280905053,108.81333490981925,1271.19466927615,15282.336810044906,29749.108815004394,28953.60684613902,2685.232762618965,18813.296895219315
WESAD,WESAD_Subject5_chest_X-ACC,1038.8907779380447,108.83182997369413,1209.2478192273836,12980.767868741086,32838.53000175278,31103.76530137906,2696.7399207442236,16669.467715115574
